person not found on wiki	19th April 1927	Macbeth	Wilfrid Walter	Director:W Bridges-Adams
9 August 1869	20th April 1931	Macbeth	Randle Ayrton	Director:W Bridges-Adams
person not found on wiki	20th April 1931	Lady Macbeth	Dorothy Massingham	Director:W Bridges-Adams
no birthday on article	19th April 1927	Lady Macbeth	Dorothy Green	Director:W Bridges-Adams
1963	4th May 1988	Lady Macbeth	Amanda Root	Director:Adrian Noble
29 February 1928	29th September 2013	Lear	Joss Ackland	Director:unknown
person not found on wiki	19th April 1899	Macbeth	F R Benson	Director:F R Benson
26 February 1864	19th April 1899	Lady Macbeth	Constance Benson	Director:F R Benson
24 January 1977	15th March 1983	Fool	Ian Talbot	Director:Adrian Noble
21 August 1879	24th December 1926	Macbeth	Henry Ainley	Director:Lewis Casson
26 May 1925	6th June 1964	Fool	Alec McCowen	Director:Peter Brook
1 June 1947	1st April 1987	Macbeth	Jonathan Pryce	Director:Adrian Noble
24 October 1882	24th December 1926	Lady Macbeth	Sybil Thorndike	Director:Lewis Casson
26 July 1945	29th October 1974	Lady Macbeth	Helen Mirren	Director:Trevor Nunn
18 February 1948	1st April 1987	Lady Macbeth	Sinead Cusack	Director:Adrian Noble
19 December 1902	10th June 1952	Macbeth	Ralph Richardson	Director:John Gielgud
25 May 1939	21st March 1977	Macbeth	Ian McKellen	Director:Trevor Nunn
5 August 1937	unknown opening	King Lear	Alan Howard	Director:Peter Hall
25 May 1939	21st June 2007	King Lear	Ian McKellen	Director:Trevor Nunn
14 July 1921	3rd May 1932	Fool	Geoffrey Wilkinson	Director:W Bridges-Adams
26 February 1922	10th June 1952	Lady Macbeth	Margaret Leighton	Director:John Gielgud
no birthday on article	12th August 1916	Macbeth	Robert Atkins	Director:Ben Greet
9 August 1869	3rd May 1932	Lear	Randle Ayrton	Director:W Bridges-Adams
21 January 1922	6th June 1964	King Lear	Paul Scofield	Director:Peter Brook
January 20, 1928	unknown opening	Lear	Peter Donat	Director:Edward Hastings
person not found on wiki	18th April 1929	Macbeth	Wilfrid Walter	Director:W Bridges-Adams
24 October 1882	12th August 1916	Lady Macbeth	Sybil Thorndike	Director:Ben Greet
14 July 1921	2nd July 1932	Fool	Geoffrey Wilkinson	Director:W Bridges-Adams
27 March 1935	unknown opening	King Lear	Julian Glover	Director:Barry Kyle
25 May 1939	21st June 2007	King Lear	Ian McKellen	Director:Trevor Nunn
person not found on wiki	25th April 1904	Fool	George R Weir	Director:F R Benson
9 May 1936	15th March 1958	Macbeth	Albert Finney	Director:Bernard Hepton
person not found on wiki	25th April 1904	Lear	F R Benson	Director:F R Benson
9 December 1934	21st March 1977	Lady Macbeth	Judi Dench	Director:Trevor Nunn
no birthday on article	26th February 1994	Fool	Ian Hughes	Director:Adrian Noble
16 February 1927	15th March 1958	Lady Macbeth	June Brown	Director:Bernard Hepton
October 12, 1960	28th October 1999	Fool	Hiroyuki Sanada	Director:Yukio Ninagawa
26 January 1979	12th October 2002	Fool	Edward Hogg	Director:Declan Donnellan
14 July 1931	26th February 1994	King Lear	Robert Stephens	Director:Adrian Noble
no birthday on article	12th October 2002	King Lear	Nonso Anozie	Director:Declan Donnellan
25 May 1939	21st June 2007	King Lear	Ian McKellen	Director:Trevor Nunn
no birthday on article	unknown opening	Fool	Edward Petherbridge	Director:unknown
2 June 1932	unknown opening	Fool	Alan Dobie	Director:John Moody
5 April 1929	28th October 1999	King Lear	Nigel Hawthorne	Director:Yukio Ninagawa
10 June 1908	unknown opening	King Lear	Robert Eddison	Director:unknown
no birthday on article	unknown opening	Lear	Russell Thorndike	Director:Robert Atkins
person not found on wiki	17th December 1955	Fool	David O’Brien	Director:George Devine
no birthday on article	24th November 2007	Fool	Brian Moore	Director:unknown
8 April 1928	unknown opening	King Lear	Eric Porter	Director:John Moody
13 January 1948	unknown opening	Macbeth	Malcolm Storry	Director:Andy Hinds
1946	unknown opening	Lady Macbeth	Dearbhla Molloy	Director:Andy Hinds
no birthday on article	unknown opening	Fool	Leslie French	Director:Harcourt Williams
7 February 1946	unknown opening	Macbeth	Pete Postlethwaite	Director:George Costigan
22 October 1938	3rd December 2010	King Lear	Derek Jacobi	Director:Michael Grandage
person not found on wiki	unknown opening	Lady Macbeth	Patricia Kerrigan	Director:George Costigan
no birthday on article	18th April 1933	Macbeth	George Hayes	Director:Theodore Komisarjevsky
14 April 1904	17th December 1955	King Lear	John Gielgud	Director:George Devine
no birthday on article	16th July 1924	Fool	Mark Turner	Director:W Bridges-Adams
April 23, 1969	16th July 1924	King Lear	Arthur Phillips	Director:W Bridges-Adams
14 April 1904	unknown opening	Lear	John Gielgud	Director:Harcourt Williams
6 June 1940	unknown opening	Fool	Matthew Guinness	Director:Toby Robertson
31 December 1937	7th November 1972	Macbeth	Anthony Hopkins	Director:Michael Blakemore
7 September 1913	unknown opening	Lear	Anthony Quayle	Director:Toby Robertson
20 July 1938	7th November 1972	Lady Macbeth	Diana Rigg	Director:Michael Blakemore
22 October 1938	15th December 1993	Macbeth	Derek Jacobi	Director:Adrian Noble
22 May 1949	15th December 1993	Lady Macbeth	Cheryl Campbell	Director:Adrian Noble
12 September 1931	18th August 1959	Fool	Ian Holm	Director:Glen Byam Shaw
26 October 1953	16th May 1996	Macbeth	Roger Allam	Director:Tim Albery
1953	16th May 1996	Lady Macbeth	Brid Brennan	Director:Tim Albery
1 June 1947	28th February 1987	Macbeth	Jonathan Pryce	Director:Adrian Noble
18 February 1948	28th February 1987	Lady Macbeth	Sinead Cusack	Director:Adrian Noble
22 May 1907	unknown opening	Macbeth	Laurence Olivier	Director:Glen Byam Shaw
no birthday on article	unknown opening	Lady Macbeth	Vivien Leigh	Director:Glen Byam Shaw
person not found on wiki	19th April 1902	Fool	George R Weir	Director:F R Benson
